,country,continent,year,lifeExp,pop,gdpPercap,Two_Letter_Country_Code,iso_alpha,iso_num
1670,Canada加拿大,Americas,1960,70.76,18195571,13073,CA,CAN,124
1675,Canada加拿大,Americas,1965,71.8,20086200,15031,CA,CAN,124
1680,Canada加拿大,Americas,1970,72.58,21698607,17813,CA,CAN,124
1685,Canada加拿大,Americas,1975,73.68,23191640,20843,CA,CAN,124
1690,Canada加拿大,Americas,1980,75.14,24639700,22576,CA,CAN,124
1695,Canada加拿大,Americas,1985,76.42,26010580,25135,CA,CAN,124
1700,Canada加拿大,Americas,1990,77.51,27733981,26456,CA,CAN,124
1705,Canada加拿大,Americas,1995,78.35,29592907,27910,CA,CAN,124
1710,Canada加拿大,Americas,2000,79.31,31263698,31579,CA,CAN,124
1715,Canada加拿大,Americas,2005,80.3,32794992,35123,CA,CAN,124
1720,Canada加拿大,Americas,2010,81.25,34147564,40137,CA,CAN,124
1725,Canada加拿大,Americas,2015,81.9,36026676,46499,CA,CAN,124
1730,Canada加拿大,Americas,2020,81.95,26545863,50100,CA,CAN,124
1735,Canada加拿大,Americas,2025,81.95,30155992,53100,CA,CAN,124
1740,Canada加拿大,Americas,2030,81.95,33766121,55600,CA,CAN,124
1743,Central African Republic中非共利國,Africa,1950,34.66,1000430,1023,CF,CAF,140
1748,Central African Republic中非共利國,Africa,1955,36.66,1477563,1143,CF,CAF,140
1753,Central African Republic中非共利國,Africa,1960,38.67,1471000,1192,CF,CAF,140
1758,Central African Republic中非共利國,Africa,1965,40.68,1649574,1159,CF,CAF,140
1763,Central African Republic中非共利國,Africa,1970,42.67,1849811,1096,CF,CAF,140
1768,Central African Republic中非共利國,Africa,1975,45.45,2071424,1094,CF,CAF,140
1773,Central African Republic中非共利國,Africa,1980,47.69,2353196,1018,CF,CAF,140
1778,Central African Republic中非共利國,Africa,1985,49.61,2694794,890,CF,CAF,140
1783,Central African Republic中非共利國,Africa,1990,49.83,3095078,787,CF,CAF,140
1788,Central African Republic中非共利國,Africa,1995,47.4,3523957,743,CF,CAF,140
1793,Central African Republic中非共利國,Africa,2000,44.41,3907413,739,CF,CAF,140
1798,Central African Republic中非共利國,Africa,2005,44.17,4240628,719,CF,CAF,140
1803,Central African Republic中非共利國,Africa,2010,47.31,4386768,626,CF,CAF,140
1808,Central African Republic中非共利國,Africa,2015,50.88,4493170,491,CF,CAF,140
1813,Central African Republic中非共利國,Africa,2020,53.94,4829767,370,CF,CAF,140
1818,Central African Republic中非共利國,Africa,2025,56.76,5385989,398,CF,CAF,140
1823,Central African Republic中非共利國,Africa,2030,59.59,5942211,418,CF,CAF,140
1826,Chad查德,Africa,1950,37.38,2391197,1127,TD,TCD,148
1831,Chad查德,Africa,1955,39.17,2913052,1257,TD,TCD,148
1836,Chad查德,Africa,1960,40.98,3048192,1357,TD,TCD,148
1841,Chad查德,Africa,1965,42.85,3357747,1274,TD,TCD,148
1846,Chad查德,Africa,1970,44.78,3737828,1141,TD,TCD,148
1851,Chad查德,Africa,1975,46.66,4192583,1122,TD,TCD,148
1856,Chad查德,Africa,1980,48.66,4680375,932,TD,TCD,148
1861,Chad查德,Africa,1985,50.44,5249420,891,TD,TCD,148
1866,Chad查德,Africa,1990,51.45,6057232,1016,TD,TCD,148
1871,Chad查德,Africa,1995,51.63,7108973,1026,TD,TCD,148
1876,Chad查德,Africa,2000,50.94,8326248,1096,TD,TCD,148
1881,Chad查德,Africa,2005,50.6,9677580,1485,TD,TCD,148
1886,Chad查德,Africa,2010,50.89,11952136,1481,TD,TCD,148
1891,Chad查德,Africa,2015,53.14,14110975,1110,TD,TCD,148
1896,Chad查德,Africa,2020,54.51,16425864,700,TD,TCD,148
1901,Chad查德,Africa,2025,55.83,19058123,985,TD,TCD,148
1906,Chad查德,Africa,2030,57.16,21690381,1260,TD,TCD,148
1909,Chile智利,Americas,1950,54.21,6086354,3790,CL,CHL,152
1914,Chile智利,Americas,1955,55.54,6791574,4165,CL,CHL,152
1919,Chile智利,Americas,1960,57.18,7596125,4438,CL,CHL,152
1924,Chile智利,Americas,1965,59.48,8499848,4872,CL,CHL,152
1929,Chile智利,Americas,1970,62.27,9374078,5339,CL,CHL,152
1934,Chile智利,Americas,1975,65.61,10246885,5052,CL,CHL,152
1939,Chile智利,Americas,1980,69.16,11132184,4960,CL,CHL,152
1944,Chile智利,Americas,1985,71.72,12072857,5367,CL,CHL,152
1949,Chile智利,Americas,1990,73.47,13129138,6777,CL,CHL,152
1954,Chile智利,Americas,1995,75.14,14189155,9109,CL,CHL,152
1959,Chile智利,Americas,2000,77.04,15138199,10514,CL,CHL,152
1964,Chile智利,Americas,2005,78.28,15969663,12214,CL,CHL,152
1969,Chile智利,Americas,2010,78.78,17062536,13652,CL,CHL,152
1974,Chile智利,Americas,2015,79.65,17969353,14452,CL,CHL,152
1979,Chile智利,Americas,2020,80.31,19116201,14650,CL,CHL,152
1984,Chile智利,Americas,2025,80.97,19287152,15800,CL,CHL,152
1989,Chile智利,Americas,2030,81.64,19458103,16800,CL,CHL,152
1992,China中國,Asia,1950,41.38,555972262,330,CN,CHN,156
1997,China中國,Asia,1955,47.93,588866949,506,CN,CHN,156
2002,China中國,Asia,1960,46.92,654425200,523,CN,CHN,156
2007,China中國,Asia,1965,52.83,719038000,563,CN,CHN,156
2012,China中國,Asia,1970,61.22,819038000,651,CN,CHN,156
2017,China中國,Asia,1975,63.63,910885000,716,CN,CHN,156
2022,China中國,Asia,1980,64.9,977550600,874,CN,CHN,156
2027,China中國,Asia,1985,66.57,1050533400,1212,CN,CHN,156
2032,China中國,Asia,1990,68.12,1132596000,1545,CN,CHN,156
2037,China中國,Asia,1995,69.73,1204033000,2036,CN,CHN,156
2042,China中國,Asia,2000,71.39,1260270000,2787,CN,CHN,156
2047,China中國,Asia,2005,72.59,1303369858,4223,CN,CHN,156
2052,China中國,Asia,2010,74.41,1368810615,5783,CN,CHN,156
2057,China中國,Asia,2015,75.93,1406847870,7156,CN,CHN,156
2062,China中國,Asia,2020,77.17,1439323776,8130,CN,CHN,156
2067,China中國,Asia,2025,78.34,1451831968,9560,CN,CHN,156
2072,China中國,Asia,2030,79.51,1464340159,10460,CN,CHN,156
2075,Colombia哥倫比亞,Americas,1950,48.85,12059506,2072,CO,COL,170
2080,Colombia哥倫比亞,Americas,1955,53.33,13350492,2252,CO,COL,170
2085,Colombia哥倫比亞,Americas,1960,56.77,16000328,2425,CO,COL,170
2090,Colombia哥倫比亞,Americas,1965,59.12,18662370,2604,CO,COL,170
2095,Colombia哥倫比亞,Americas,1970,60.96,21431345,3030,CO,COL,170
2100,Colombia哥倫比亞,Americas,1975,62.95,24073803,3595,CO,COL,170
2105,Colombia哥倫比亞,Americas,1980,65.53,26696551,4165,CO,COL,170
2110,Colombia哥倫比亞,Americas,1985,67.32,29684405,4701,CO,COL,170
2115,Colombia哥倫比亞,Americas,1990,68.16,32907331,5228,CO,COL,170
2120,Colombia哥倫比亞,Americas,1995,69.56,36275786,5848,CO,COL,170
2125,Colombia哥倫比亞,Americas,2000,71.13,39668068,5900,CO,COL,170
2130,Colombia哥倫比亞,Americas,2005,72.41,42939821,6506,CO,COL,170
2135,Colombia哥倫比亞,Americas,2010,75.42,45222700,7216,CO,COL,170
2140,Colombia哥倫比亞,Americas,2015,76.53,47520667,7564,CO,COL,170
2145,Colombia哥倫比亞,Americas,2020,77.48,50882891,7500,CO,COL,170
2150,Colombia哥倫比亞,Americas,2025,78.4,52149827,8100,CO,COL,170
2155,Colombia哥倫比亞,Americas,2030,79.32,53416763,8600,CO,COL,170
2158,Comoros葛摩聯盟,Africa,1950,40.02,147139,1060,KM,COM,174
2163,Comoros葛摩聯盟,Africa,1955,41.76,164131,1168,KM,COM,174
2168,Comoros葛摩聯盟,Africa,1960,43.66,183385,1328,KM,COM,174
2173,Comoros葛摩聯盟,Africa,1965,45.67,207102,1688,KM,COM,174
2178,Comoros葛摩聯盟,Africa,1970,47.96,236967,1913,KM,COM,174
2183,Comoros葛摩聯盟,Africa,1975,50.14,282854,1479,KM,COM,174
2188,Comoros葛摩聯盟,Africa,1980,52.14,331081,1229,KM,COM,174
2193,Comoros葛摩聯盟,Africa,1985,54.13,376526,1296,KM,COM,174
2198,Comoros葛摩聯盟,Africa,1990,56.73,430703,1275,KM,COM,174
2203,Comoros葛摩聯盟,Africa,1995,59.57,498561,1203,KM,COM,174
2208,Comoros葛摩聯盟,Africa,2000,62.05,579822,1115,KM,COM,174
2213,Comoros葛摩聯盟,Africa,2005,64.28,672329,1022,KM,COM,174
2218,Comoros葛摩聯盟,Africa,2010,61.86,689692,1092,KM,COM,174
2223,Comoros葛摩聯盟,Africa,2015,63.47,777424,1268,KM,COM,174
2228,Comoros葛摩聯盟,Africa,2020,64.53,869601,1378,KM,COM,174
2233,Comoros葛摩聯盟,Africa,2025,65.56,966358,1600,KM,COM,174
2238,Comoros葛摩聯盟,Africa,2030,66.59,1063114,1850,KM,COM,174
2241,"Congo, Dem. Rep.剛果民主共和國",Africa,1950,38.54,13808740,730,CD,COD,180
2246,"Congo, Dem. Rep.剛果民主共和國",Africa,1955,40.05,14836808,856,CD,COD,180
2251,"Congo, Dem. Rep.剛果民主共和國",Africa,1960,41.53,16723033,900,CD,COD,180
2256,"Congo, Dem. Rep.剛果民主共和國",Africa,1965,43.28,18959217,875,CD,COD,180
2261,"Congo, Dem. Rep.剛果民主共和國",Africa,1970,45.22,21781031,888,CD,COD,180
2266,"Congo, Dem. Rep.剛果民主共和國",Africa,1975,47.08,25091590,839,CD,COD,180
2271,"Congo, Dem. Rep.剛果民主共和國",Africa,1980,47.79,28980245,723,CD,COD,180
2276,"Congo, Dem. Rep.剛果民主共和國",Africa,1985,47.56,33547585,673,CD,COD,180
2281,"Congo, Dem. Rep.剛果民主共和國",Africa,1990,46.29,39195944,544,CD,COD,180
2286,"Congo, Dem. Rep.剛果民主共和國",Africa,1995,43.77,45348249,370,CD,COD,180
2291,"Congo, Dem. Rep.剛果民主共和國",Africa,2000,44.01,52347506,270,CD,COD,180
2296,"Congo, Dem. Rep.剛果民主共和國",Africa,2005,45.86,60915996,263,CD,COD,180
2301,"Congo, Dem. Rep.剛果民主共和國",Africa,2010,56.91,64563854,314,CD,COD,180
2306,"Congo, Dem. Rep.剛果民主共和國",Africa,2015,59.25,76244544,375,CD,COD,180
2311,"Congo, Dem. Rep.剛果民主共和國",Africa,2020,61.05,89561403,390,CD,COD,180
2316,"Congo, Dem. Rep.剛果民主共和國",Africa,2025,62.76,104804065,500,CD,COD,180
2321,"Congo, Dem. Rep.剛果民主共和國",Africa,2030,64.47,120046726,600,CD,COD,180
2324,"Congo, Rep.剛果",Africa,1950,40.93,563620,2050,CG,COG,178
2329,"Congo, Rep.剛果",Africa,1955,43.88,1034747,2239,CG,COG,178
2334,"Congo, Rep.剛果",Africa,1960,47.08,1004938,2405,CG,COG,178
2339,"Congo, Rep.剛果",Africa,1965,50.6,1127026,2593,CG,COG,178
2344,"Congo, Rep.剛果",Africa,1970,53.76,1276179,2999,CG,COG,178
2349,"Congo, Rep.剛果",Africa,1975,55.34,1458245,3241,CG,COG,178
2354,"Congo, Rep.剛果",Africa,1980,56.27,1679549,4231,CG,COG,178
2359,"Congo, Rep.剛果",Africa,1985,57.16,1948351,4473,CG,COG,178
2364,"Congo, Rep.剛果",Africa,1990,56.85,2271082,4090,CG,COG,178
2369,"Congo, Rep.剛果",Africa,1995,54.35,2644197,3697,CG,COG,178
2374,"Congo, Rep.剛果",Africa,2000,52.97,3117656,3484,CG,COG,178
2379,"Congo, Rep.剛果",Africa,2005,54.38,3611884,3573,CG,COG,178
2384,"Congo, Rep.剛果",Africa,2010,60.09,64563854,2830,CG,COG,178
2389,"Congo, Rep.剛果",Africa,2015,63.1,76244544,1493,CG,COG,178
2394,"Congo, Rep.剛果",Africa,2020,64.96,89561403,390,CG,COG,178
2399,"Congo, Rep.剛果",Africa,2025,66.64,104804065,500,CG,COG,178
2404,"Congo, Rep.剛果",Africa,2030,68.32,120046726,600,CG,COG,178
2407,Costa Rica哥斯大黎加,Americas,1950,56.08,635052,2482,CR,CRI,188
2412,Costa Rica哥斯大黎加,Americas,1955,58.9,1146343,2845,CR,CRI,188
2417,Costa Rica哥斯大黎加,Americas,1960,61.72,1252032,3273,CR,CRI,188
2422,Costa Rica哥斯大黎加,Americas,1965,64.39,1491305,3881,CR,CRI,188
2427,Costa Rica哥斯大黎加,Americas,1970,66.88,1736364,4736,CR,CRI,188
2432,Costa Rica哥斯大黎加,Americas,1975,69.59,1998993,5603,CR,CRI,188
2437,Costa Rica哥斯大黎加,Americas,1980,72.37,2298003,5528,CR,CRI,188
2442,Costa Rica哥斯大黎加,Americas,1985,74.23,2649633,5483,CR,CRI,188
2447,Costa Rica哥斯大黎加,Americas,1990,75.33,3023854,5948,CR,CRI,188
2452,Costa Rica哥斯大黎加,Americas,1995,76.64,3380151,6470,CR,CRI,188
2457,Costa Rica哥斯大黎加,Americas,2000,77.78,3708203,7305,CR,CRI,188
2462,Costa Rica哥斯大黎加,Americas,2005,78.52,4014304,8876,CR,CRI,188
2467,Costa Rica哥斯大黎加,Americas,2010,78.77,4577378,9746,CR,CRI,188
2472,Costa Rica哥斯大黎加,Americas,2015,79.57,4847804,9913,CR,CRI,188
2477,Costa Rica哥斯大黎加,Americas,2020,80.46,5094118,9510,CR,CRI,188
2482,Costa Rica哥斯大黎加,Americas,2025,81.36,5281078,10050,CR,CRI,188
2487,Costa Rica哥斯大黎加,Americas,2030,82.27,5468038,10300,CR,CRI,188
2490,Cote d'Ivoire象牙海岸,Africa,1950,39.68,2685754,1344,CI,CIV,384
2495,Cote d'Ivoire象牙海岸,Africa,1955,41.67,3251844,1456,CI,CIV,384
2500,Cote d'Ivoire象牙海岸,Africa,1960,43.95,3619445,1638,CI,CIV,384
2505,Cote d'Ivoire象牙海岸,Africa,1965,46.38,4379885,1923,CI,CIV,384
2510,Cote d'Ivoire象牙海岸,Africa,1970,48.82,5540966,2248,CI,CIV,384
2515,Cote d'Ivoire象牙海岸,Africa,1975,51.34,6904423,2462,CI,CIV,384
2520,Cote d'Ivoire象牙海岸,Africa,1980,53.34,8399400,2569,CI,CIV,384
2525,Cote d'Ivoire象牙海岸,Africa,1985,54.39,10067039,2335,CI,CIV,384
2530,Cote d'Ivoire象牙海岸,Africa,1990,53.09,11967997,1852,CI,CIV,384
2535,Cote d'Ivoire象牙海岸,Africa,1995,49.61,13884619,1731,CI,CIV,384
2540,Cote d'Ivoire象牙海岸,Africa,2000,47.3,15602022,1704,CI,CIV,384
2545,Cote d'Ivoire象牙海岸,Africa,2005,47.73,17309136,1586,CI,CIV,384
2550,Cote d'Ivoire象牙海岸,Africa,2010,52.96,20530000,1571,CI,CIV,384
2555,Cote d'Ivoire象牙海岸,Africa,2015,56.07,23230000,1615,CI,CIV,384
2560,Cote d'Ivoire象牙海岸,Africa,2020,58.23,25820000,1715,CI,CIV,384
2565,Cote d'Ivoire象牙海岸,Africa,2025,60.26,26185000,2036,CI,CIV,384
2570,Cote d'Ivoire象牙海岸,Africa,2030,62.28,26550000,2346,CI,CIV,384
2573,Croatia克羅埃西亞,Europe,1950,59.79,3590964,2632,HR,HRV,191
2578,Croatia克羅埃西亞,Europe,1955,63.35,4071467,3851,HR,HRV,191
2583,Croatia克羅埃西亞,Europe,1960,66.19,4042431,5022,HR,HRV,191
2588,Croatia克羅埃西亞,Europe,1965,67.95,4135242,6367,HR,HRV,191
2593,Croatia克羅埃西亞,Europe,1970,69.17,4204932,8283,HR,HRV,191
2598,Croatia克羅埃西亞,Europe,1975,70.23,4281328,10449,HR,HRV,191
2603,Croatia克羅埃西亞,Europe,1980,70.53,4375490,12455,HR,HRV,191
2608,Croatia克羅埃西亞,Europe,1985,71.1,4455933,13582,HR,HRV,191
2613,Croatia克羅埃西亞,Europe,1990,72.12,4490132,10598,HR,HRV,191
2618,Croatia克羅埃西亞,Europe,1995,73.22,4464362,9304,HR,HRV,191
2623,Croatia克羅埃西亞,Europe,2000,74.4,4466450,10927,HR,HRV,191
2628,Croatia克羅埃西亞,Europe,2005,75.4,4488395,13423,HR,HRV,191
2633,Croatia克羅埃西亞,Europe,2010,76.48,4328165,15078,HR,HRV,191
2638,Croatia克羅埃西亞,Europe,2015,77.28,4232874,15843,HR,HRV,191
2643,Croatia克羅埃西亞,Europe,2020,78.56,4105267,15200,HR,HRV,191
2648,Croatia克羅埃西亞,Europe,2025,79.78,3991270,17100,HR,HRV,191
2653,Croatia克羅埃西亞,Europe,2030,81.0,3877272,18100,HR,HRV,191
2656,Cuba古巴,Americas,1950,58.26,5716532,5384,CU,CUB,192
2661,Cuba古巴,Americas,1955,61.16,6406612,5890,CU,CUB,192
2666,Cuba古巴,Americas,1960,64.08,7008925,5545,CU,CUB,192
2671,Cuba古巴,Americas,1965,67.07,7785348,5486,CU,CUB,192
2676,Cuba古巴,Americas,1970,69.75,8554542,5459,CU,CUB,192
2681,Cuba古巴,Americas,1975,71.88,9255332,5950,CU,CUB,192
2686,Cuba古巴,Americas,1980,73.29,9688730,6942,CU,CUB,192
2691,Cuba古巴,Americas,1985,73.99,10059593,7447,CU,CUB,192
2696,Cuba古巴,Americas,1990,74.32,10529892,6369,CU,CUB,192
2701,Cuba古巴,Americas,1995,75.46,10879108,5496,CU,CUB,192
2706,Cuba古巴,Americas,2000,76.76,11129402,5977,CU,CUB,192
2711,Cuba古巴,Americas,2005,77.83,11340992,7905,CU,CUB,192
2716,Cuba古巴,Americas,2010,78.34,11225832,8415,CU,CUB,192
2721,Cuba古巴,Americas,2015,78.56,11324781,7527,CU,CUB,192
2726,Cuba古巴,Americas,2020,78.85,11326616,6530,CU,CUB,192
2731,Cuba古巴,Americas,2025,79.17,11234472,6810,CU,CUB,192
2736,Cuba古巴,Americas,2030,79.49,11142328,7110,CU,CUB,192
2739,Czech Republic捷克,Europe,1950,66.01,8833918,6324,CZ,CZE,203
2744,Czech Republic捷克,Europe,1955,68.17,9426246,7704,CZ,CZE,203
2749,Czech Republic捷克,Europe,1960,69.55,9577672,9385,CZ,CZE,203
2754,Czech Republic捷克,Europe,1965,70.19,9749178,10894,CZ,CZE,203
2759,Czech Republic捷克,Europe,1970,70.33,9851338,12425,CZ,CZE,203
2764,Czech Republic捷克,Europe,1975,70.54,10042012,14123,CZ,CZE,203
2769,Czech Republic捷克,Europe,1980,70.86,10246988,15146,CZ,CZE,203
2774,Czech Republic捷克,Europe,1985,71.33,10308440,15937,CZ,CZE,203
2779,Czech Republic捷克,Europe,1990,72.07,10314060,15102,CZ,CZE,203
2784,Czech Republic捷克,Europe,1995,73.37,10306705,15348,CZ,CZE,203
2789,Czech Republic捷克,Europe,2000,74.91,10274060,16977,CZ,CZE,203
2794,Czech Republic捷克,Europe,2005,76.1,10239764,20738,CZ,CZE,203
2799,Czech Republic捷克,Europe,2010,77.42,10536518,23083,CZ,CZE,203
2804,Czech Republic捷克,Europe,2015,78.58,10601397,23500,CZ,CZE,203
2809,Czech Republic捷克,Europe,2020,79.13,10708981,22500,CZ,CZE,203
2814,Czech Republic捷克,Europe,2025,79.39,10726908,26300,CZ,CZE,203
2819,Czech Republic捷克,Europe,2030,79.64,10744834,30300,CZ,CZE,203
2822,Denmark丹麥,Europe,1950,70.37,4272468,9129,DK,DNK,208
2827,Denmark丹麥,Europe,1955,71.4,4426299,10537,DK,DNK,208
2832,Denmark丹麥,Europe,1960,72.13,4583272,12590,DK,DNK,208
2837,Denmark丹麥,Europe,1965,72.72,4762040,14996,DK,DNK,208
2842,Denmark丹麥,Europe,1970,73.27,4930478,17695,DK,DNK,208
2847,Denmark丹麥,Europe,1975,74.2,5049690,19800,DK,DNK,208
2852,Denmark丹麥,Europe,1980,74.65,5106054,21182,DK,DNK,208
2857,Denmark丹麥,Europe,1985,74.73,5123338,23745,DK,DNK,208
2862,Denmark丹麥,Europe,1990,75.12,5153645,25891,DK,DNK,208
2867,Denmark丹麥,Europe,1995,75.8,5238755,28445,DK,DNK,208
2872,Denmark丹麥,Europe,2000,76.75,5338281,31222,DK,DNK,208
2877,Denmark丹麥,Europe,2005,77.87,5430749,34034,DK,DNK,208
2882,Denmark丹麥,Europe,2010,79.1,5554844,42746,DK,DNK,208
2887,Denmark丹麥,Europe,2015,80.7,5688695,55191,DK,DNK,208
2892,Denmark丹麥,Europe,2020,80.66,5792202,62200,DK,DNK,208
2897,Denmark丹麥,Europe,2025,79.91,5897035,66300,DK,DNK,208
2902,Denmark丹麥,Europe,2030,79.17,6001867,69800,DK,DNK,208
2905,Djibouti吉布地,Africa,1950,33.81,1617,2591,DJ,DJI,262
2910,Djibouti吉布地,Africa,1955,36.32,97396,2787,DJ,DJI,262
2915,Djibouti吉布地,Africa,1960,38.75,82679,2959,DJ,DJI,262
2920,Djibouti吉布地,Africa,1965,41.12,112529,3020,DJ,DJI,262
2925,Djibouti吉布地,Africa,1970,43.45,158356,3425,DJ,DJI,262
2930,Djibouti吉布地,Africa,1975,45.66,208756,3327,DJ,DJI,262
2935,Djibouti吉布地,Africa,1980,47.89,275072,2960,DJ,DJI,262
2940,Djibouti吉布地,Africa,1985,49.55,309011,2880,DJ,DJI,262
2945,Djibouti吉布地,Africa,1990,50.98,354904,2578,DJ,DJI,262
2950,Djibouti吉布地,Africa,1995,52.54,404407,2088,DJ,DJI,262
2955,Djibouti吉布地,Africa,2000,53.29,435613,1903,DJ,DJI,262
2960,Djibouti吉布地,Africa,2005,54.22,476791,2013,DJ,DJI,262
2965,Djibouti吉布地,Africa,2010,60.06,840198,2296,DJ,DJI,262
2970,Djibouti吉布地,Africa,2015,64.14,913993,2651,DJ,DJI,262
2975,Djibouti吉布地,Africa,2020,67.96,988000,3088,DJ,DJI,262
2980,Djibouti吉布地,Africa,2025,71.4,1052362,3848,DJ,DJI,262
2985,Djibouti吉布地,Africa,2030,74.85,1116724,4608,DJ,DJI,262
2988,Dominican Republic多明尼加共和國,Americas,1950,44.37,2429814,1339,DM,DMA,212
2993,Dominican Republic多明尼加共和國,Americas,1955,48.27,2694848,1486,DM,DMA,212
2998,Dominican Republic多明尼加共和國,Americas,1960,52.01,3241335,1615,DM,DMA,212
3003,Dominican Republic多明尼加共和國,Americas,1965,55.43,3810861,1657,DM,DMA,212
3008,Dominican Republic多明尼加共和國,Americas,1970,58.48,4422456,1975,DM,DMA,212
3013,Dominican Republic多明尼加共和國,Americas,1975,60.93,5050212,2485,DM,DMA,212
3018,Dominican Republic多明尼加共和國,Americas,1980,62.95,5702129,2789,DM,DMA,212
3023,Dominican Republic多明尼加共和國,Americas,1985,65.12,6380518,2884,DM,DMA,212
3028,Dominican Republic多明尼加共和國,Americas,1990,67.49,7072827,2986,DM,DMA,212
3033,Dominican Republic多明尼加共和國,Americas,1995,69.36,7735887,3386,DM,DMA,212
3038,Dominican Republic多明尼加共和國,Americas,2000,70.49,8387136,4184,DM,DMA,212
3043,Dominican Republic多明尼加共和國,Americas,2005,71.68,9051902,5441,DM,DMA,212
3048,Dominican Republic多明尼加共和國,Americas,2010,72.05,9695121,6520,DM,DMA,212
3053,Dominican Republic多明尼加共和國,Americas,2015,73.24,10281680,7345,DM,DMA,212
3058,Dominican Republic多明尼加共和國,Americas,2020,74.3,10847910,7520,DM,DMA,212
3063,Dominican Republic多明尼加共和國,Americas,2025,75.31,11309116,8900,DM,DMA,212
3068,Dominican Republic多明尼加共和國,Americas,2030,76.33,11770322,10400,DM,DMA,212
3071,Ecuador厄瓜多,Americas,1950,47.16,3487221,3419,EC,ECU,218
3076,Ecuador厄瓜多,Americas,1955,50.16,3783372,3677,EC,ECU,218
3081,Ecuador厄瓜多,Americas,1960,53.33,4432378,3964,EC,ECU,218
3086,Ecuador厄瓜多,Americas,1965,55.86,5132137,4382,EC,ECU,218
3091,Ecuador厄瓜多,Americas,1970,57.95,5952160,5000,EC,ECU,218
3096,Ecuador厄瓜多,Americas,1975,60.3,6886780,6120,EC,ECU,218
3101,Ecuador厄瓜多,Americas,1980,63.13,7931056,7000,EC,ECU,218
3106,Ecuador厄瓜多,Americas,1985,66.08,9073435,6775,EC,ECU,218
3111,Ecuador厄瓜多,Americas,1990,68.66,10267100,6855,EC,ECU,218
3116,Ecuador厄瓜多,Americas,1995,71.23,11446449,7299,EC,ECU,218
3121,Ecuador厄瓜多,Americas,2000,73.43,12517468,6436,EC,ECU,218
3126,Ecuador厄瓜多,Americas,2005,74.67,13421902,6433,EC,ECU,218
3131,Ecuador厄瓜多,Americas,2010,75.09,15011117,6429,EC,ECU,218
3136,Ecuador厄瓜多,Americas,2015,76.14,16213335,5689,EC,ECU,218
3141,Ecuador厄瓜多,Americas,2020,77.23,17643054,4850,EC,ECU,218
3146,Ecuador厄瓜多,Americas,2025,78.31,18730926,5600,EC,ECU,218
3151,Ecuador厄瓜多,Americas,2030,79.39,19818797,6350,EC,ECU,218
3154,Egypt埃及,Africa,1950,40.87,22161777,1403,EG,EGY,818
3159,Egypt埃及,Africa,1955,43.42,23368648,1443,EG,EGY,818
3164,Egypt埃及,Africa,1960,45.97,26907882,1600,EG,EGY,818
3169,Egypt埃及,Africa,1965,48.37,30278036,1766,EG,EGY,818
3174,Egypt埃及,Africa,1970,50.4,33556925,1940,EG,EGY,818
3179,Egypt埃及,Africa,1975,52.45,37193285,2481,EG,EGY,818
3184,Egypt埃及,Africa,1980,54.93,42922632,3216,EG,EGY,818
3189,Egypt埃及,Africa,1985,58.28,49952162,3733,EG,EGY,818
3194,Egypt埃及,Africa,1990,62.12,56760944,3831,EG,EGY,818
3199,Egypt埃及,Africa,1995,65.8,63441454,4022,EG,EGY,818
3204,Egypt埃及,Africa,2000,68.77,70441252,4522,EG,EGY,818
3209,Egypt埃及,Africa,2005,70.73,77483749,5251,EG,EGY,818
3214,Egypt埃及,Africa,2010,70.35,82761235,4938,EG,EGY,818
3219,Egypt埃及,Africa,2015,71.3,92442547,3866,EG,EGY,818
3224,Egypt埃及,Africa,2020,72.16,102334404,2900,EG,EGY,818
3229,Egypt埃及,Africa,2025,73.01,111582981,3530,EG,EGY,818
3234,Egypt埃及,Africa,2030,73.85,120831557,4130,EG,EGY,818
3237,El Salvador薩爾瓦多,Americas,1950,43.94,1981333,2899,SV,SLV,222
3242,El Salvador薩爾瓦多,Americas,1955,47.25,2198807,3272,SV,SLV,222
3247,El Salvador薩爾瓦多,Americas,1960,50.81,2590934,3635,SV,SLV,222
3252,El Salvador薩爾瓦多,Americas,1965,54.44,3038831,4126,SV,SLV,222
3257,El Salvador薩爾瓦多,Americas,1970,57.27,3567713,4456,SV,SLV,222
3262,El Salvador薩爾瓦多,Americas,1975,57.3,4085913,4891,SV,SLV,222
3267,El Salvador薩爾瓦多,Americas,1980,56.64,4397958,4515,SV,SLV,222
3272,El Salvador薩爾瓦多,Americas,1985,60.53,4695266,4124,SV,SLV,222
3277,El Salvador薩爾瓦多,Americas,1990,65.34,5101667,4323,SV,SLV,222
3282,El Salvador薩爾瓦多,Americas,1995,68.44,5579923,4871,SV,SLV,222
3287,El Salvador薩爾瓦多,Americas,2000,70.25,6125584,5273,SV,SLV,222
3292,El Salvador薩爾瓦多,Americas,2005,71.42,6705285,5578,SV,SLV,222
3297,El Salvador薩爾瓦多,Americas,2010,71.21,6183875,5189,SV,SLV,222
3302,El Salvador薩爾瓦多,Americas,2015,72.41,6325124,4291,SV,SLV,222
3307,El Salvador薩爾瓦多,Americas,2020,73.54,6486205,3350,SV,SLV,222
3312,El Salvador薩爾瓦多,Americas,2025,74.66,6632396,4200,SV,SLV,222
3317,El Salvador薩爾瓦多,Americas,2030,75.78,6778586,5200,SV,SLV,222
3320,Equatorial Guinea赤道幾內亞,Africa,1950,33.88,155432,355,GQ,GNQ,226
